加利尔 AR（纪念品） | 地狱看门犬=Souvenir Galil AR | Cerberus
M4A4（StatTrak™） | 镁元素=StatTrak™ M4A4 | Magnesium
MAC-10（纪念品） | 棕榈色=Souvenir MAC-10 | Palm
AWP（纪念品） | 响尾蛇=Souvenir AWP | Pit Viper
刺刀（★） | 澄澈之水=★ Bayonet | Bright Water
穿肠刀（★ StatTrak™） | 外表生锈=★ StatTrak™ Gut Knife | Rust Coat
FN57（纪念品） | 橘皮涂装=Souvenir Five-SeveN | Orange Peel
SG 553（StatTrak™） | 致命紫罗兰=StatTrak™ SG 553 | Ultraviolet
UMP-45（纪念品） | 硝烟=Souvenir UMP-45 | Gunsmoke
鲍伊猎刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Bowie Knife | Safari Mesh
UMP-45（纪念品） | 都市 DDPAT=Souvenir UMP-45 | Urban DDPAT
刺刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Bayonet | Forest DDPAT
M4A4（StatTrak™） | 地狱烈焰=StatTrak™ M4A4 | Hellfire
M4A1 消音型（StatTrak™） | 女火神之炽焰=StatTrak™ M4A1-S | Chantico's Fire
Tec-9 | 黄铜=Tec-9 | Brass
刺刀（★ StatTrak™） | 北方森林=★ StatTrak™ Bayonet | Boreal Forest
SCAR-20 | 雇佣兵=SCAR-20 | Contractor
SCAR-20 | 心脏打击=SCAR-20 | Cardiac
短剑（★ StatTrak™） | 枯焦之色=★ StatTrak™ Stiletto Knife | Scorched
截短霰弹枪（StatTrak™） | 梭鲈=StatTrak™ Sawed-Off | Zander
M4A1 消音型（StatTrak™） | 闪回=StatTrak™ M4A1-S | Flashback
XM1014（StatTrak™） | 锈蚀烈焰=StatTrak™ XM1014 | Oxide Blaze
双持贝瑞塔（StatTrak™） | 黑榄仁木=StatTrak™ Dual Berettas | Black Limba
弯刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Falchion Knife | Marble Fade
P250（StatTrak™） | 生化短吻鳄=StatTrak™ P250 | See Ya Later
M9 刺刀（★ StatTrak™） | 自由之手=★ StatTrak™ M9 Bayonet | Freehand
P250 | 影魔=P250 | Nevermore
法玛斯（StatTrak™） | 机械工业=StatTrak™ FAMAS | Mecha Industries
MP7（StatTrak™） | 卷云=StatTrak™ MP7 | Cirrus
P90（StatTrak™） | 精英之作=StatTrak™ P90 | Elite Build
UMP-45（StatTrak™） | 野蛮剑齿虎=StatTrak™ UMP-45 | Primal Saber
鲍伊猎刀（★ StatTrak™） | 大马士革钢=★ StatTrak™ Bowie Knife | Damascus Steel
刺刀（★） | 自由之手=★ Bayonet | Freehand
刺刀（★） | 都市伪装=★ Bayonet | Urban Masked
P250（StatTrak™） | 卡特尔=StatTrak™ P250 | Cartel
MAC-10（StatTrak™） | 青金鳄皮=StatTrak™ MAC-10 | Lapis Gator
SSG 08 | 巨铁=SSG 08 | Big Iron
折叠刀（★） | 枯焦之色=★ Flip Knife | Scorched
穿肠刀（★） | 伽玛多普勒=★ Gut Knife | Gamma Doppler
专业手套（★） | 深红之网=★ Specialist Gloves | Crimson Web
AUG | 鹰翼=AUG | Wings
P90（StatTrak™） | 沙漠战争=StatTrak™ P90 | Desert Warfare
暗影双匕（★） | 表面淬火=★ Shadow Daggers | Case Hardened
G3SG1 | 弗卢克斯=G3SG1 | Flux
G3SG1（StatTrak™） | 碧蓝斑纹=StatTrak™ G3SG1 | Azure Zebra
FN57 | 暴怒野兽=Five-SeveN | Hyper Beast
内格夫（StatTrak™） | 眩目=StatTrak™ Negev | Dazzle
猎杀者匕首（★） | 北方森林=★ Huntsman Knife | Boreal Forest
猎杀者匕首（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Huntsman Knife | Night
G3SG1（StatTrak™） | 黑暗豹纹=StatTrak™ G3SG1 | Murky
USP 消音版（StatTrak™） | 枪响人亡=StatTrak™ USP-S | Kill Confirmed
Tec-9（StatTrak™） | 坍雪寒裘=StatTrak™ Tec-9 | Avalanche
P250 | 暗潮=P250 | Undertow
M4A1 消音型（纪念品） | 控制台=Souvenir M4A1-S | Control Panel
AWP（StatTrak™） | 珊瑚树=StatTrak™ AWP | Corticera
双持贝瑞塔（StatTrak™） | 都市冲击=StatTrak™ Dual Berettas | Urban Shock
P2000（StatTrak™） | 红色碎片迷彩=StatTrak™ P2000 | Red FragCam
截短霰弹枪 | 至高皮革=Sawed-Off | First Class
PP-野牛（纪念品） | 沙漠虚线=Souvenir PP-Bizon | Sand Dashed
P90（StatTrak™） | 牵引力=StatTrak™ P90 | Traction
格洛克 18 型（StatTrak™） | 城里的月光=StatTrak™ Glock-18 | Moonrise
运动手套（★） | 欧米伽=★ Sport Gloves | Omega
MAG-7 | 钴核=MAG-7 | Cobalt Core
MAG-7 | 天空守卫=MAG-7 | Heaven Guard
Tec-9 | 梗怖分子=Tec-9 | Terrace
PP-野牛（StatTrak™） | 钻蓝半调=StatTrak™ PP-Bizon | Cobalt Halftone
弯刀（★） | 屠夫=★ Falchion Knife | Slaughter
SSG 08（StatTrak™） | 幽灵战士=StatTrak™ SSG 08 | Ghost Crusader
FN57 | 狂野丛林=Five-SeveN | Jungle
M4A1 消音型 | 次时代=M4A1-S | Cyrex
M4A4 | 破晓=M4A4 | Daybreak
G3SG1 | 通风机=G3SG1 | Ventilator
新星 | 兴风作浪=Nova | Tempest
M4A1 消音型 | 守护者=M4A1-S | Guardian
沙漠之鹰 | 日落风暴 壱=Desert Eagle | Sunset Storm 壱
弯刀（★） | 噩梦之夜=★ Falchion Knife | Night
Tec-9 | 遥控=Tec-9 | Remote Control
鲍伊猎刀（★） | 外表生锈=★ Bowie Knife | Rust Coat
MAG-7（纪念品） | 辐照警报=Souvenir MAG-7 | Irradiated Alert
刺刀（★） | 致命紫罗兰=★ Bayonet | Ultraviolet
锯齿爪刀（★ StatTrak™） | 北方森林=★ StatTrak™ Talon Knife | Boreal Forest
摩托手套（★） | 日蚀=★ Moto Gloves | Eclipse
鲍伊猎刀（★ StatTrak™） | 渐变大理石=★ StatTrak™ Bowie Knife | Marble Fade
MP7 | 橘皮涂装=MP7 | Orange Peel
G3SG1 | 丰饶女神=G3SG1 | Demeter
M4A4（StatTrak™） | 龙王=StatTrak™ M4A4 | 龍王
法玛斯（纪念品） | 湖蓝涂装=Souvenir FAMAS | Cyanospatter
格洛克 18 型 | 核子反应=Glock-18 | Reactor
MP7 | 深蓝电镀处理=MP7 | Anodized Navy
专业手套（★） | 大腕=★ Specialist Gloves | Mogul
折叠刀（★） | 北方森林=★ Flip Knife | Boreal Forest
短剑（★） | 虎牙=★ Stiletto Knife | Tiger Tooth
MAC-10（StatTrak™） | 孔雀石=StatTrak™ MAC-10 | Malachite
穿肠刀（★） | 枯焦之色=★ Gut Knife | Scorched
G3SG1（纪念品） | 多变迷彩=Souvenir G3SG1 | VariCamo
M9 刺刀（★） | 深红之网=★ M9 Bayonet | Crimson Web
加利尔 AR | 信号灯=Galil AR | Signal
截短霰弹枪 | 路霸=Sawed-Off | Highwayman
爪子刀（★ StatTrak™） | 自由之手=★ StatTrak™ Karambit | Freehand
法玛斯（StatTrak™） | 防滚架=StatTrak™ FAMAS | Roll Cage
P250 | 设施系列·草图=P250 | Facility Draft
M249（纪念品） | 对比涂装=Souvenir M249 | Contrast Spray
CZ75 自动手枪 | 战术高手=CZ75-Auto | Tacticat
USP 消音版（StatTrak™） | 凯门鳄=StatTrak™ USP-S | Caiman
折叠刀（★） | 大马士革钢=★ Flip Knife | Damascus Steel
内格夫（StatTrak™） | 无畏战神=StatTrak™ Negev | Man-o'-war
格洛克 18 型 | 亡者之寝=Glock-18 | Catacombs
MAG-7（StatTrak™） | 灼烧之痕=StatTrak™ MAG-7 | Firestarter
加利尔 AR | 沙尘暴=Galil AR | Sandstorm
鲍伊猎刀（★ StatTrak™） | 外表生锈=★ StatTrak™ Bowie Knife | Rust Coat
弯刀（★ StatTrak™） | 蓝钢=★ StatTrak™ Falchion Knife | Blue Steel
Tec-9（纪念品） | 多变迷彩=Souvenir Tec-9 | VariCamo
MP7 | 死亡骷髅=MP7 | Skulls
M9 刺刀（★ StatTrak™） | 人工染色=★ StatTrak™ M9 Bayonet | Stained
新星（纪念品） | 芯轴=Souvenir Nova | Mandrel
XM1014（StatTrak™） | 西装革履=StatTrak™ XM1014 | Black Tie
驾驶手套（★） | 蓝紫格子=★ Driver Gloves | Imperial Plaid
蝴蝶刀（★ StatTrak™） | 人工染色=★ StatTrak™ Butterfly Knife | Stained
P2000 | 工业牧草=P2000 | Grassland
AWP（StatTrak™） | 雷击=StatTrak™ AWP | Lightning Strike
AUG | 赤红新星=AUG | Hot Rod
刺刀（★） | 多普勒=★ Bayonet | Doppler
刺刀（★ StatTrak™） | 黑色层压板=★ StatTrak™ Bayonet | Black Laminate
M9 刺刀（★） | 自由之手=★ M9 Bayonet | Freehand
P90（StatTrak™） | 深蓝组件=StatTrak™ P90 | Module
M4A4（纪念品） | 狂哮飓风=Souvenir M4A4 | Tornado
格洛克 18 型（纪念品） | 核子花园=Souvenir Glock-18 | Nuclear Garden
XM1014（纪念品） | 蔚蓝多变迷彩=Souvenir XM1014 | VariCamo Blue
M4A1 消音型 | 多变迷彩=M4A1-S | VariCamo
新星（StatTrak™） | Exo=StatTrak™ Nova | Exo
AK-47（StatTrak™） | 表面淬火=StatTrak™ AK-47 | Case Hardened
CZ75 自动手枪（StatTrak™） | 猛虎=StatTrak™ CZ75-Auto | Tigris
P250 | 葡萄酒=P250 | Vino Primo
CZ75 自动手枪（StatTrak™） | 深红之网=StatTrak™ CZ75-Auto | Crimson Web
内格夫 | 棕榈色=Negev | Palm
穿肠刀（★ StatTrak™） | 都市伪装=★ StatTrak™ Gut Knife | Urban Masked
M9 刺刀（★） | 传说=★ M9 Bayonet | Lore
R8 左轮手枪 | 渐变之色=R8 Revolver | Fade
折叠刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Flip Knife | Scorched
SCAR-20（StatTrak™） | 丛林滑流=StatTrak™ SCAR-20 | Jungle Slipstream
折刀（★） | 大马士革钢=★ Navaja Knife | Damascus Steel
FN57 | 斯康里娅=Five-SeveN | Scumbria
SSG 08 | 炎龙之焰=SSG 08 | Dragonfire
XM1014 | 火焰橙=XM1014 | Blaze Orange
CZ75 自动手枪 | 猛虎=CZ75-Auto | Tigris
M4A4 | 丛林虎=M4A4 | Jungle Tiger
穿肠刀（★ StatTrak™） | 人工染色=★ StatTrak™ Gut Knife | Stained
MP9 | 绿色格纹=MP9 | Green Plaid
M4A4（StatTrak™） | 弹雨=StatTrak™ M4A4 | Bullet Rain
M249（StatTrak™） | 系统锁定=StatTrak™ M249 | System Lock
弯刀（★） | 多普勒=★ Falchion Knife | Doppler
USP 消音版（StatTrak™） | 黑色魅影=StatTrak™ USP-S | Neo-Noir
M4A4（StatTrak™） | 狮鹫=StatTrak™ M4A4 | Griffin
M9 刺刀（★） | 表面淬火=★ M9 Bayonet | Case Hardened
法玛斯 | 喷焰者=FAMAS | Spitfire
爪子刀（★） | 致命紫罗兰=★ Karambit | Ultraviolet
MAC-10（StatTrak™） | 炽热=StatTrak™ MAC-10 | Heat
MAC-10 | 孔雀石=MAC-10 | Malachite
M4A4 | 现代猎手=M4A4 | Modern Hunter
穿肠刀（★ StatTrak™） | 澄澈之水=★ StatTrak™ Gut Knife | Bright Water
裹手（★） | 云杉 DDPAT=★ Hand Wraps | Spruce DDPAT
AUG（StatTrak™） | 湖怪鸟=StatTrak™ AUG | Stymphalian
穿肠刀（★） | 致命紫罗兰=★ Gut Knife | Ultraviolet
P250 | 富兰克林=P250 | Franklin
AK-47 | 丛林涂装=AK-47 | Jungle Spray
SSG 08（StatTrak™） | 无尽深海=StatTrak™ SSG 08 | Abyss
SG 553 | 幻影=SG 553 | Phantom
P90 | 棕色皮革=P90 | Leather
新星（StatTrak™） | 惊惧骷髅=StatTrak™ Nova | Rising Skull
P250（StatTrak™） | 曼海蒂=StatTrak™ P250 | Mehndi
新星 | 樱花之绚烂=Nova | Bloomstick
G3SG1 | 净化者=G3SG1 | Scavenger
P90 | 夺命器=P90 | Chopper
M4A4 | 弹雨=M4A4 | Bullet Rain
格洛克 18 型 | 噩梦之夜=Glock-18 | Night
暗影双匕（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Shadow Daggers | Forest DDPAT
SG 553 | 浪花喷漆=SG 553 | Wave Spray
M4A1 消音型（纪念品） | 多变迷彩=Souvenir M4A1-S | VariCamo
P250 | 死亡轮回=P250 | Muertos
AK-47 | 红色层压板=AK-47 | Red Laminate
M249（StatTrak™） | 鬼影=StatTrak™ M249 | Spectre
Tec-9 | 沙尘暴=Tec-9 | Sandstorm
M4A4 | 沙漠风暴=M4A4 | Desert Storm
双持贝瑞塔（StatTrak™） | 血红蛋白=StatTrak™ Dual Berettas | Hemoglobin
PP-野牛 | 透光区=PP-Bizon | Photic Zone
CZ75 自动手枪（StatTrak™） | 战术高手=StatTrak™ CZ75-Auto | Tacticat
P90（纪念品） | 摧枯拉朽=Souvenir P90 | Teardown
猎杀者匕首（★ StatTrak™） | 多普勒=★ StatTrak™ Huntsman Knife | Doppler
CZ75 自动手枪 | 先驱=CZ75-Auto | Pole Position
加利尔 AR | 喧闹骷髅=Galil AR | Chatterbox
AK-47 | 皇后=AK-47 | The Empress
蝴蝶刀（★） | 人工染色=★ Butterfly Knife | Stained
M9 刺刀（★） | 森林 DDPAT=★ M9 Bayonet | Forest DDPAT
MAC-10 | 渐变之色=MAC-10 | Fade
P250 | 钢铁禁锢=P250 | Steel Disruption
AUG（StatTrak™） | 贵族=StatTrak™ AUG | Aristocrat
AWP | 火卫—=AWP | Phobos
UMP-45 | 迷之宫=UMP-45 | Labyrinth
专业手套（★） | 森林 DDPAT=★ Specialist Gloves | Forest DDPAT
AWP（StatTrak™） | 蠕虫之神=StatTrak™ AWP | Worm God
M9 刺刀（★） | 黑色层压板=★ M9 Bayonet | Black Laminate
P2000 | 坚固链甲=P2000 | Chainmail
格洛克 18 型（纪念品） | 远光灯=Souvenir Glock-18 | High Beam
M4A1 消音型 | 赤红新星=M4A1-S | Hot Rod
MP7 | 权力之心=MP7 | Powercore
CZ75 自动手枪 | 深红之网=CZ75-Auto | Crimson Web
PP-野牛 | 阿努比斯之审判=PP-Bizon | Judgement of Anubis
鲍伊猎刀（★ StatTrak™） | 致命紫罗兰=★ StatTrak™ Bowie Knife | Ultraviolet
穿肠刀（★） | 外表生锈=★ Gut Knife | Rust Coat
P250 | 狂野飞溅=P250 | Splash
SG 553 | 狂哮飓风=SG 553 | Tornado
穿肠刀（★ StatTrak™） | 自动化=★ StatTrak™ Gut Knife | Autotronic
P2000 | 草皮=P2000 | Turf
加利尔 AR | 多变迷彩=Galil AR | VariCamo
爪子刀（★ StatTrak™） | 人工染色=★ StatTrak™ Karambit | Stained
AWP | 猫猫狗狗=AWP | PAW
加利尔 AR | 支离破碎=Galil AR | Shattered
加利尔 AR（纪念品） | 隐蔽猎手=Souvenir Galil AR | Hunting Blind
PP-野牛（StatTrak™） | 黑夜暴乱=StatTrak™ PP-Bizon | Night Riot
穿肠刀（★ StatTrak™） | 噩梦之夜=★ StatTrak™ Gut Knife | Night
熊刀（★） | 狩猎网格=★ Ursus Knife | Safari Mesh
暗影双匕（★ StatTrak™） | 表面淬火=★ StatTrak™ Shadow Daggers | Case Hardened
P250（StatTrak™） | 狂野飞溅=StatTrak™ P250 | Splash
MP7 | 主板=MP7 | Motherboard
PP-野牛 | 墨竹=PP-Bizon | Bamboo Print
M9 刺刀（★ StatTrak™） | 北方森林=★ StatTrak™ M9 Bayonet | Boreal Forest
格洛克 18 型 | 核子花园=Glock-18 | Nuclear Garden
M9 刺刀（★ StatTrak™） | 虎牙=★ StatTrak™ M9 Bayonet | Tiger Tooth
格洛克 18 型（StatTrak™） | 战鹰=StatTrak™ Glock-18 | Warhawk
格洛克 18 型（纪念品） | 地下水=Souvenir Glock-18 | Groundwater
九头蛇手套（★） | 表面淬火=★ Hydra Gloves | Case Hardened
SCAR-20 | 丛林爆发=SCAR-20 | Outbreak
折刀（★） | 外表生锈=★ Navaja Knife | Rust Coat
MP9 | 毛细血管=MP9 | Capillary
G3SG1 | 猎人=G3SG1 | Hunter
锯齿爪刀（★） | 虎牙=★ Talon Knife | Tiger Tooth
Tec-9 | 陆军网格=Tec-9 | Army Mesh
PP-野牛 | 黄铜=PP-Bizon | Brass
MP9（StatTrak™） | 红宝石毒镖=StatTrak™ MP9 | Ruby Poison Dart
UMP-45 | 弥诺陶洛斯迷宫=UMP-45 | Minotaur's Labyrinth
鲍伊猎刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Bowie Knife | Forest DDPAT
MAG-7 | 记忆碎片=MAG-7 | Memento
法玛斯（StatTrak™） | 蓝巢=StatTrak™ FAMAS | Hexane
弯刀（★ StatTrak™） | 森林 DDPAT=★ StatTrak™ Falchion Knife | Forest DDPAT
P2000（StatTrak™） | 手炮=StatTrak™ P2000 | Handgun
沙漠之鹰 | 炽烈之炎=Desert Eagle | Blaze
折叠刀（★ StatTrak™） | 外表生锈=★ StatTrak™ Flip Knife | Rust Coat
MAC-10（StatTrak™） | 销声=StatTrak™ MAC-10 | Pipe Down
PP-野牛（StatTrak™） | 阿努比斯之审判=StatTrak™ PP-Bizon | Judgement of Anubis
沙漠之鹰 | 黄金锦鲤=Desert Eagle | Golden Koi
MP5-SD（StatTrak™） | 高斯=StatTrak™ MP5-SD | Gauss
AWP（StatTrak™） | 黑色魅影=StatTrak™ AWP | Neo-Noir
沙漠之鹰 | 纳迦蛇神=Desert Eagle | Naga
CZ75 自动手枪 | 燕尾=CZ75-Auto | Tuxedo
鲍伊猎刀（★） | 渐变大理石=★ Bowie Knife | Marble Fade
AK-47 | 红线=AK-47 | Redline
AWP | *嘣*=AWP | BOOM
刺刀（★ StatTrak™） | 枯焦之色=★ StatTrak™ Bayonet | Scorched
截短霰弹枪 | 渐变琥珀=Sawed-Off | Amber Fade
G3SG1 | 雇佣兵=G3SG1 | Contractor
内格夫（StatTrak™） | 青绿地形=StatTrak™ Negev | Terrain
M4A1 消音型（纪念品） | 骑士=Souvenir M4A1-S | Knight
UMP-45（StatTrak™） | x射线=StatTrak™ UMP-45 | Exposure
截短霰弹枪（纪念品） | 逮捕者=Souvenir Sawed-Off | Full Stop
SG 553（StatTrak™） | 次时代=StatTrak™ SG 553 | Cyrex
M4A1 消音型 | 梦魇=M4A1-S | Nightmare
AK-47 | 二西莫夫=AK-47 | Asiimov
锯齿爪刀（★） | 大马士革钢=★ Talon Knife | Damascus Steel
裹手（★） | 套印=★ Hand Wraps | Overprint
Tec-9 | 核子剧毒=Tec-9 | Toxic
MP9（纪念品） | 橘皮涂装=Souvenir MP9 | Orange Peel
Tec-9（StatTrak™） | 蛇-9=StatTrak™ Tec-9 | Snek-9
MP7（StatTrak™） | 复仇者=StatTrak™ MP7 | Nemesis
AUG（StatTrak™） | 动量=StatTrak™ AUG | Momentum
CZ75 自动手枪 | 军队之辉=CZ75-Auto | Army Sheen
MAG-7 | 暴风呼啸=MAG-7 | Storm
Tec-9（StatTrak™） | 艾萨克=StatTrak™ Tec-9 | Isaac
AWP | 死神=AWP | Mortis
XM1014（StatTrak™） | 血红巨蟒=StatTrak™ XM1014 | Red Python
新星（StatTrak™） | 古董枪=StatTrak™ Nova | Antique
PP-野牛 | 都市虚线=PP-Bizon | Urban Dashed
M9 刺刀（★） | 渐变大理石=★ M9 Bayonet | Marble Fade
XM1014（纪念品） | 辐射警告=Souvenir XM1014 | Fallout Warning
穿肠刀（★ StatTrak™） | 狩猎网格=★ StatTrak™ Gut Knife | Safari Mesh
MP7 | 陆军斥候=MP7 | Army Recon
MP9 | 蛊惑之色=MP9 | Hypnotic
SCAR-20（StatTrak™） | 蓝图=StatTrak™ SCAR-20 | Blueprint
Tec-9（StatTrak™） | 剪纸=StatTrak™ Tec-9 | Cut Out
P2000（StatTrak™） | 草皮=StatTrak™ P2000 | Turf
G3SG1 | 绿苹果=G3SG1 | Green Apple
沙漠之鹰 | 轻轨=Desert Eagle | Light Rail
AUG（纪念品） | 扫频仪=Souvenir AUG | Sweeper
UMP-45（纪念品） | 辐射警告=Souvenir UMP-45 | Fallout Warning
双持贝瑞塔 | 决斗家=Dual Berettas | Duelist
MP7（StatTrak™） | 装甲核心=StatTrak™ MP7 | Armor Core
暗影双匕（★） | 都市伪装=★ Shadow Daggers | Urban Masked
格洛克 18 型（StatTrak™） | 本生灯=StatTrak™ Glock-18 | Bunsen Burner
法玛斯 | 雅典娜之眼=FAMAS | Eye of Athena
刺刀（★ StatTrak™） | 人工染色=★ StatTrak™ Bayonet | Stained
截短霰弹枪 | 聚光灯=Sawed-Off | Limelight
MAC-10 | 不可磨灭=MAC-10 | Graven
M249 | 星云十字军=M249 | Nebula Crusader
沙漠之鹰 | 都市 DDPAT=Desert Eagle | Urban DDPAT
FN57（StatTrak™） | 表面淬火=StatTrak™ Five-SeveN | Case Hardened
MAC-10 | 银质=MAC-10 | Silver
折刀（★） | 夜色=★ Navaja Knife | Night Stripe
P90（StatTrak™） | 精雕木刻=StatTrak™ P90 | Shapewood
AUG（纪念品） | 雇佣兵=Souvenir AUG | Contractor
Tec-9 | 骨化之色=Tec-9 | Ossified
XM1014 | 工业牧草=XM1014 | Grassland
FN57 | 神祗=Five-SeveN | Kami
P90（StatTrak™） | 盲点=StatTrak™ P90 | Blind Spot
刺刀（★） | 传说=★ Bayonet | Lore
P250（纪念品） | 沙丘之黄=Souvenir P250 | Sand Dune
MP9（StatTrak™） | 飞驰=StatTrak™ MP9 | Dart
蝴蝶刀（★ StatTrak™） | 屠夫=★ StatTrak™ Butterfly Knife | Slaughter
UMP-45 | 色如焦糖=UMP-45 | Caramel
CZ75 自动手枪 | 印花板=CZ75-Auto | Imprint
暗影双匕（★） | 虎牙=★ Shadow Daggers | Tiger Tooth
穿肠刀（★） | 渐变之色=★ Gut Knife | Fade
M4A1 消音型（StatTrak™） | 原子合金=StatTrak™ M4A1-S | Atomic Alloy
Tec-9（StatTrak™） | 贾姆比亚=StatTrak™ Tec-9 | Jambiya
MP7 | 血腥运动=MP7 | Bloodsport
AK-47 | 精英之作=AK-47 | Elite Build
AK-47（StatTrak™） | 火神=StatTrak™ AK-47 | Vulcan
沙漠之鹰（StatTrak™） | 红色代号=StatTrak™ Desert Eagle | Code Red
